Date,CPI,RPP,PGDP,CR,GDP
1975Q1,26.89207627,33.08842021,32.71222321,1518.311276,1569.4
1975Q2,27.26834713,33.86293598,33.25935072,1535.675617,1605
1975Q3,27.7919155,33.92379079,33.86380744,1561.061242,1662.4
1975Q4,28.28225294,34.49914537,34.37576784,1591.647404,1713.9
1976Q1,28.60741927,34.87533874,34.79459778,1623.674388,1771.9
1976Q2,28.91105222,36.28053164,35.21160612,1660.072872,1804.2
1976Q3,29.32032128,36.88354749,35.68985428,1700.258424,1837.7
1976Q4,29.73302913,37.36485372,36.24300868,1746.834203,1884.5
1977Q1,30.28632462,38.39385325,36.90498999,1803.741874,1938.5
1977Q2,30.87185775,40.21396531,37.45911883,1861.896231,2005.2
1977Q3,31.27869233,41.13785198,37.93392184,1924.294147,2066
1977Q4,31.71419932,42.6647545,38.67340744,1992.932306,2110.8
1978Q1,32.28811922,43.99249582,39.29043623,2058.354766,2149.1
1978Q2,33.00518734,45.79047887,40.02480319,2133.471522,2274.7
1978Q3,33.76556712,47.13481696,40.72120995,2207.872868,2335.2
1978Q4,34.56375062,48.37957445,41.49353662,2284.906576,2416
1979Q1,35.43256508,50.56481537,42.2815769,2364.34181,2463.3
1979Q2,36.54707544,52.19683075,43.32863717,2445.348109,2526.4
1979Q3,37.73406684,53.30328185,44.30110442,2534.231936,2599.7
1979Q4,38.93939002,54.39866844,45.11473071,2610.809859,2659.4
1980Q1,40.49383415,55.32255511,46.1015679,2696.618538,2724.1
1980Q2,41.85998024,56.19111923,47.14615251,2722.271767,2728
1980Q3,42.58286749,57.76781205,48.24471711,2783.336572,2785.2
1980Q4,43.85186387,57.95037648,49.51841653,2859.30184,2915.3
1981Q1,45.04349694,58.35976339,50.79663744,2926.903845,3051.4
1981Q2,45.97281241,59.45514998,51.7874909,3005.881998,3084.3
1981Q3,47.19396412,60.4343592,52.7054523,3088.516516,3177
1981Q4,48.01792684,60.37903665,53.62796746,3153.509505,3194.7
1982Q1,48.46652007,61.26972979,54.34788964,3219.965737,3184.9
1982Q2,49.0991108,61.98339075,55.05750736,3278.199274,3240.9
1982Q3,49.91673736,61.39143941,55.83318242,3325.13225,3274.4
1982Q4,50.16732455,62.16595518,56.41379079,3371.425378,3312.5
1983Q1,50.21087516,63.2945353,56.84418025,3429.527484,3381
1983Q2,50.75404022,63.95287371,57.31993343,3502.37822,3482.2
1983Q3,51.23238808,64.46737347,57.89616989,3599.23244,3587.1
1983Q4,51.80885572,64.84356685,58.30740365,3713.771928,3688.1
1984Q1,52.48165899,65.80064705,59.00315742,3831.554921,3807.4
1984Q2,52.96106213,66.65814665,59.56885409,3971.54497,3906.3
1984Q3,53.42492013,67.29988829,60.04590536,4094.893427,3976
1984Q4,53.92023148,67.8586461,60.4277685,4249.63545,4034
1985Q1,54.35246883,68.77700052,61.04123896,4394.942401,4117.2
1985Q2,54.93763633,69.82812906,61.43915061,4523.356261,4175.7
1985Q3,55.23191763,70.94564468,61.69647279,4656.13813,4258.3
1985Q4,55.81455569,71.7256927,62.11460456,4834.741624,4318.7
1986Q1,56.0164671,73.09215981,62.36080068,4938.974575,4382.4
1986Q2,55.81669945,74.60799782,62.72683513,5071.806301,4423.2
1986Q3,56.1537942,75.73657795,63.10100136,5216.967422,4491.3
1986Q4,56.53395973,76.89835161,63.54911215,5386.953645,4543.3
1987Q1,57.23278062,78.41972187,64.07103304,5475.019034,4611.1
